170424 15:42:12 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:12 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:12 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:42:17 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:17 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:17 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:42:22 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:22 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:22 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:42:27 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:27 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:27 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:42:32 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:32 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:32 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:42:37 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:37 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:37 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:42:42 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:42 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:42 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:42:47 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:47 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:47 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:42:52 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:52 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:52 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:42:57 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:42:57 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:42:57 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:02 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:02 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:02 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:07 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:07 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:07 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:12 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:12 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:12 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:17 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:17 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:17 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:22 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:22 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:22 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:27 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:27 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:27 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:32 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:32 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:32 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:37 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:37 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:37 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:42 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:42 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:42 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:47 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:47 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:47 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:53 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:53 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:53 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:43:58 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:43:58 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:43:58 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:44:03 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:44:03 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:44:03 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:44:08 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:44:08 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:44:08 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:44:13 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:44:13 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:44:13 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:44:18 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:44:18 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:44:18 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:44:23 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:44:23 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:44:23 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:44:28 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:44:28 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:44:28 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:44:33 DEBUG | get the device info: {'XT1079': 'ZX1C3242JH'}--[base.py:64]
170424 15:44:33 DEBUG | current device dict: {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:27]
170424 15:44:33 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:44:34 INFO | monkey end with XT1079--[monkey.py:113]
170424 15:44:34 INFO | capture screen--[monkey.py:120]
170424 15:44:35 INFO | [ 53%] /sdcard/XT1079_04-24~15-41-57.png
[100%] /sdcard/XT1079_04-24~15-41-57.png--[monkey.py:127]
170424 15:44:35 INFO | deal_with_log--[monkey.py:136]
170424 15:44:35 INFO | 发送失败--[mail.py:51]
170424 15:44:35 INFO | Reboot XT1079--[monkey.py:169]
170424 15:44:38 INFO | All device lost--[base.py:42]
170424 15:44:38 DEBUG | current device dict: {}--[device_monitor.py:27]
